Rasterizer state bi=0 ri=0 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=0 ri=1 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=0 ri=2 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=0 ri=3 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=0 ri=4 => RasterizerDesc { fill_mode: Wireframe, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=0 ri=5 => RasterizerDesc { fill_mode: Wireframe, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=0 ri=6 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=0 ri=7 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=0 ri=8 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=1 ri=0 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=1 ri=1 => RasterizerDesc { fill_mode: Solid, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=1 ri=2 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=1 ri=3 => RasterizerDesc { fill_mode: Solid, cull_mode: Front, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(1), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=1 ri=4 => RasterizerDesc { fill_mode: Wireframe, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=1 ri=5 => RasterizerDesc { fill_mode: Wireframe, cull_mode: None, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(1), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
Rasterizer state bi=1 ri=6 => RasterizerDesc { fill_mode: Solid, cull_mode: Back, front_counter_clockwise: BOOL(1), depth_bias: 0, depth_bias_clamp: 0.0, slope_scaled_depth_bias: 0.0, depth_clip_enable: BOOL(0), scissor_enable: BOOL(0), multisample_enable: BOOL(0), antialiased_line_enable: BOOL(0) }
